,,,sum_sq,df,F,PR(>F)
Credit_Limit,Attrition_Flag,Attrition_Flag,476719144.9386942,1.0,5.773729372945775,0.016285357205197453
Credit_Limit,Attrition_Flag,Residual,835990229317.1804,10125.0,,
Credit_Limit,Gender,Gender,148119824753.91034,1.0,2178.7164847209774,0.0
Credit_Limit,Gender,Residual,688347123708.2078,10125.0,,
Credit_Limit,Education_Level,Education_Level,203037315.60800672,6.0,0.40950741477771047,0.8732230731668761
Credit_Limit,Education_Level,Residual,836263911146.511,10120.0,,
Credit_Limit,Marital_Status,Marital_Status,2868812644.8633027,3.0,11.612706073484503,1.3558342344466353e-07
Credit_Limit,Marital_Status,Residual,833598135817.2556,10123.0,,
Credit_Limit,Income_Category,Income_Category,278339104098.27203,5.0,1009.4712532357182,0.0
Credit_Limit,Income_Category,Residual,558127844363.8468,10121.0,,
Credit_Limit,Card_Category,Card_Category,223738812282.2928,3.0,1232.1440581324607,0.0
Credit_Limit,Card_Category,Residual,612728136179.826,10123.0,,
Total_Revolving_Bal,Attrition_Flag,Attrition_Flag,465399353.0014935,1.0,752.7024081839762,6.63014845531896e-160
Total_Revolving_Bal,Attrition_Flag,Residual,6260333961.876165,10125.0,,
Total_Revolving_Bal,Gender,Gender,5916092.570724051,1.0,8.91399799978742,0.0028366973730648004
Total_Revolving_Bal,Gender,Residual,6719817222.306929,10125.0,,
Total_Revolving_Bal,Education_Level,Education_Level,5314365.674137726,6.0,1.3337804539861267,0.23802265903493508
Total_Revolving_Bal,Education_Level,Residual,6720418949.203515,10120.0,,
Total_Revolving_Bal,Marital_Status,Marital_Status,11450880.694361053,3.0,5.754760661584473,0.0006276801816781453
Total_Revolving_Bal,Marital_Status,Residual,6714282434.183293,10123.0,,
Total_Revolving_Bal,Income_Category,Income_Category,9408362.754871996,5.0,2.835539975234918,0.014565584380128884
Total_Revolving_Bal,Income_Category,Residual,6716324952.122782,10121.0,,
Total_Revolving_Bal,Card_Category,Card_Category,5319970.836344944,3.0,2.6711682758853854,0.04579046231280758
Total_Revolving_Bal,Card_Category,Residual,6720413344.041307,10123.0,,
Avg_Open_To_Buy,Attrition_Flag,Attrition_Flag,68007.53557362099,1.0,0.0008228504895689931,0.9771160894377175
Avg_Open_To_Buy,Attrition_Flag,Residual,836818239050.4343,10125.0,,
Avg_Open_To_Buy,Gender,Gender,146253532957.5932,1.0,2144.3564408925226,0.0
Avg_Open_To_Buy,Gender,Residual,690564774100.376,10125.0,,
Avg_Open_To_Buy,Education_Level,Education_Level,200839707.937936,6.0,0.40490385862366435,0.8762605783844978
Avg_Open_To_Buy,Education_Level,Residual,836617467350.0319,10120.0,,
Avg_Open_To_Buy,Marital_Status,Marital_Status,3184519793.50346,3.0,12.890110086756245,2.11104763976077e-08
Avg_Open_To_Buy,Marital_Status,Residual,833633787264.4664,10123.0,,
Avg_Open_To_Buy,Income_Category,Income_Category,276054380117.7913,5.0,996.478641704862,0.0
Avg_Open_To_Buy,Income_Category,Residual,560763926940.1782,10121.0,,
Avg_Open_To_Buy,Card_Category,Card_Category,221899923737.9096,3.0,1217.6645383249622,0.0
Avg_Open_To_Buy,Card_Category,Residual,614918383320.06,10123.0,,
Total_Amt_Chng_Q4_Q1,Attrition_Flag,Attrition_Flag,8.35805156695561,1.0,176.96163776965963,4.83664270350958e-40
Total_Amt_Chng_Q4_Q1,Attrition_Flag,Residual,478.21252776591723,10125.0,,
Total_Amt_Chng_Q4_Q1,Gender,Gender,0.34717370482617627,1.0,7.229462260922217,0.007183409708890879
Total_Amt_Chng_Q4_Q1,Gender,Residual,486.2234056280462,10125.0,,
Total_Amt_Chng_Q4_Q1,Education_Level,Education_Level,0.24868677210220677,6.0,0.8624980601573634,0.5216114144696693
